Date,FOREX_JP,IM_JP,EXPO_JP,BAL_JP
Jan-85,254.1828571,5968.8,2100,-3868.8
Feb-85,260.4777778,4799.8,1823.6,-2976.2
Mar-85,257.9204762,5724.9,2328.7,-3396.2
Apr-85,251.8454545,5931,1732.7,-4198.3
May-85,251.7295455,5719.2,1814.5,-3904.7
Jun-85,248.84,5824.1,1750.6,-4073.5
Jul-85,241.1363636,5418.3,1845.2,-3573.1
Aug-85,237.4609091,5444.2,1742.9,-3701.3
Sep-85,236.5275,6451.5,1925.7,-4525.8
Oct-85,214.6804545,5236.9,1834.1,-3402.8
Nov-85,204.0736842,6042.6,1972.1,-4070.5
Dec-85,202.7880952,6221.6,1760.8,-4460.8
Jan-86,199.8904762,6901.6,1762.5,-5139.1
Feb-86,184.8515789,5860.6,1813,-4047.6
Mar-86,178.6938095,7185.4,1998.1,-5187.3
Apr-86,175.0918182,6333.2,1905.8,-4427.4
May-86,167.0314286,6439.1,1732.2,-4706.9
Jun-86,167.5419048,7240.1,3860.5,-3379.6
Jul-86,158.6059091,8101.9,2941,-5160.9
Aug-86,154.1771429,6694.4,2272.4,-4422
Sep-86,154.7314286,5884.2,2015.2,-3869
Oct-86,156.4722727,6995.6,2285.9,-4709.7
Nov-86,162.8494444,8392.1,1990.1,-6402
Dec-86,162.0522727,5882.8,2304.9,-3577.9
Jan-87,154.8295,5900.5,1785.4,-4115.1
Feb-87,153.4068421,6824.5,2034.6,-4789.9
Mar-87,151.4331818,6804.2,2138.6,-4665.6
Apr-87,142.8986364,6832.3,2170.6,-4661.7
May-87,140.479,6933.8,2151.5,-4782.3
Jun-87,144.5495455,7332.6,2293,-5039.6
Jul-87,150.293913,7340.5,2561.3,-4779.2
Aug-87,147.3342857,7242.4,2657.9,-4584.5
Sep-87,143.2909524,6780.9,2424.3,-4356.6
Oct-87,143.32,7932,2392.4,-5539.6
Nov-87,135.3973684,7179,2637.7,-4541.3
Dec-87,128.2418182,7472.2,3001.3,-4470.9
Jan-88,127.6852632,6356.7,2714.8,-3641.9
Feb-88,129.1665,7098.4,2957.5,-4140.9
Mar-88,127.113913,7408.3,3193.2,-4215.1
Apr-88,124.897619,7244.7,3046.8,-4197.9
May-88,124.7871429,6685.4,2961.3,-3724.1
Jun-88,127.4654545,7556.1,3354.8,-4201.3
Jul-88,133.0215,7328.9,3280.1,-4048.8
Aug-88,133.766087,7672.4,3297.9,-4374.5
Sep-88,134.317619,7057.7,3110,-3947.7
Oct-88,128.6805,8441.2,3259.6,-5181.6
Nov-88,123.202,8191.4,3233.7,-4957.7
Dec-88,123.607619,8477.7,3315.6,-5162.1
Jan-89,127.3625,6732.5,3124.5,-3608
Feb-89,127.7373684,7763.2,3257.5,-4505.7
Mar-89,130.5504348,8439.6,4104.2,-4335.4
Apr-89,132.0365,7537.3,3677.4,-3859.9
May-89,137.8636364,7927.1,3610.3,-4316.8
Jun-89,143.9809091,7870.7,4072.6,-3798.1
Jul-89,140.424,7855,3865.5,-3989.5
Aug-89,141.4852174,7859.4,3917.4,-3942
Sep-89,145.07,7742.9,3502.4,-4240.5
Oct-89,142.2066667,8602.6,3698.7,-4903.9
Nov-89,143.5342857,7773.5,3759.1,-4014.4
Dec-89,143.685,7448.7,3904.1,-3544.6
Jan-90,144.9819048,6878.2,4028,-2850.2
Feb-90,145.6931579,6911.3,3783.5,-3127.8
Mar-90,153.3081818,7807.5,4236.3,-3571.2
